NGC_7347|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/22/CGCG_2237.5+1046:S:UBVR:f2000.fits.gz']
ESO_240-_G_013|[]
CGCG_539-092|[]
NGC_5398|[]
UGC_10586_NOTES03|[]
CGCG_303-017|[]
CGCG_454-056|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/23/CGCG_2320.8+2017:S:UBVR:f2000.fits.gz']
UGC_01099|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/01/CGCG_0129.7+1923:S:UBVR:f2000.fits.gz']
UGC_08087|[]
ESO_185-_G_026|[]
ESO_286-_G_063|[]
CGCG_452-018|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/22/CGCG_2226.3+1640:S:UBVR:f2000.fits.gz']
UGC_01459|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/01/CGCG_0156.1+3549:S:UBVR:f2000.fits.gz']
UGC_02094|[]
2MASX_J03202058-5416244|[]
UGC_04642|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/08/CGCG_0849.6+4236:S:UBVR:f2000.fits.gz']
UGC_08233|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1306.8+0716:S:UBVR:f2000.fits.gz']
IC_1212|[]
UGC_10813|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/17/CGCG_1718.0+2353:S:UBVR:f2000.fits.gz']
UGC_00501|[]
UGC_01485|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/01/CGCG_0157.6+2052:S:UBVR:f2000.fits.gz']
UGC_03710_NED01|[]
UGC_03774|[]
ESO_062-_G_005|[]
NGC_5808|[]
CGCG_423-002|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/19/CGCG_1957.5+1438:S:UBVR:f2000.fits.gz']
CGCG_426-048|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/21/CGCG_2120.7+1510:S:UBVR:f2000.fits.gz']
UGC_03539|[]
UGC_04128|[]
UGC_04991_NOTES01|[]
NGC_5551|[]
WKK_5009|[]
WKK_5918|[]
NGC_6676|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_1833.2+6655:S:UBVR:f2000.fits.gz']
IC_1823|[]
MCG_+09-12-064|[]
WKK_0399|[]
UGC_08583|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1333.5+3515:S:UBVR:f2000.fits.gz']
CGCG_514-051|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/22/CGCG_2229.3+3428:S:UBVR:f2000.fits.gz']
IC_0222|[]
CGCG_539-024|[]
NGC_4284|[]
MCG_-01-35-020|[]
CGCG_371-001|[]
CGCG_459-031|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/01/CGCG_0117.2+2106:S:UBVR:f2000.fits.gz']
NGC_3093|['http://ned.ipac.caltech.edu/spc1/2003/20032dF...C...0000C/781/2dFGRS_N216Z066:S:OPT:c2003.fits.gz']
CGCG_008-048_NED01|[]
CGCG_253-036|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/17/CGCG_1745.9+4543:S:UBVR:f2000.fits.gz']
UGC_12235|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/22/CGCG_2251.7+3206:S:UBVR:f2000.fits.gz']
UGC_02217|[]
UGC_02536|[]
UGC_02787|[]
2MASX_J06550001-3601205|[]
UGCA_114|[]
2MASX_J09310533-4214227|[]
CGCG_166-030_NED01|[]
UGC_11837|[]
MCG_-05-56-025|[]
IC_1540|[]
MCG_-02-04-054|[]
IC_1803|[]
2MASX_J02353730+3738199|[]
ESO_488-_G_013|[]
